Player,Team,teamWins,overallSeed,WS,G,MPG,TRB,AST,PPG,STL,BLK,FGPercent,ThreePPercent,FTPercent,WSper48,BPM,VORP,gUnadjusted,wUnadjusted,WS-Unadjusted,VORP-Unadjusted,GPsoFar,allStar,allNBA
Bam Adebayo,MIA,53,8,10.93,82,34.6,10.6,5,16.1,1.3,1.2,0.575,0.083,0.688,0.183,5.1,5.16,54,35,7.2,3.4,54,1,
Giannis Antetokounmpo,MIL,70,1,13.82,73,30.9,13.5,5.8,30,1.1,1.1,0.55,0.309,0.614,0.29,12.1,8.2,48,46,9.1,5.4,54,1,
Devin Booker,PHO,33,20,8.35,78,35.8,4.2,6.4,26.3,0.7,0.2,0.495,0.355,0.921,0.141,1.9,2.83,52,22,5.6,1.9,55,1,
Jimmy Butler,MIA,53,8,11.39,70,34.4,6.9,6.2,20.6,1.8,0.6,0.453,0.246,0.836,0.224,5.1,4.4,46,35,7.5,2.9,54,1,
Anthony Davis,LAL,63,2,13.92,71,34.6,9.3,3.3,26.7,1.6,2.5,0.518,0.321,0.846,0.266,7.2,5.88,46,41,9,3.8,53,1,
Luka Doncic,DAL,49,11,10.88,66,32.8,9.6,8.6,29,1,0.2,0.466,0.327,0.765,0.236,11.3,7.45,44,33,7.3,5,55,1,
Joel Embiid,PHI,51,9,7.75,58,30.7,12,3.2,23.3,0.8,1.4,0.467,0.34,0.814,0.203,4,2.83,39,34,5.2,1.9,55,1,
Rudy Gobert,UTA,55,7,13.36,79,34.6,14.6,1.5,15.6,0.7,1.9,0.692,0,0.612,0.231,4.9,4.86,52,36,8.8,3.2,54,1,
James Harden,HOU,52,8,15.79,77,36.9,6.5,7.4,35.2,1.7,1,0.436,0.356,0.871,0.261,9.4,8.35,51,34,10.4,5.5,54,1,
Brandon Ingram,NOP,34,18,7.01,70,33.9,6.3,4.3,24.7,0.9,0.7,0.475,0.405,0.857,0.138,2.2,2.53,47,23,4.7,1.7,55,1,
LeBron James,LAL,63,2,12.22,79,34.9,7.7,10.7,25.1,1.3,0.5,0.491,0.344,0.697,0.208,8.2,7.27,51,41,7.9,4.7,53,1,
Nikola Jokic,DEN,57,4,12.52,82,32.6,10.2,6.9,20.8,1.2,0.7,0.523,0.33,0.815,0.22,8.5,7.16,55,38,8.4,4.8,55,1,
Kawhi Leonard,LAC,55,6,8.8,61,32.5,7.5,5.3,27.2,1.8,0.7,0.463,0.374,0.895,0.208,7.1,4.62,41,37,5.9,3.1,55,1,
Damian Lillard,POR,37,15,13.47,78,37,4.4,7.9,29.5,1,0.3,0.46,0.393,0.889,0.222,6.5,6.3,53,25,9.2,4.3,56,1,
Kyle Lowry,TOR,60,3,8.35,64,36.4,4.8,7.7,19.5,1.2,0.4,0.42,0.357,0.857,0.169,3.2,3.13,43,40,5.6,2.1,55,1,
Khris Middleton,MIL,70,1,10.17,71,29.6,6.2,4.3,20.6,1,0.1,0.504,0.445,0.903,0.227,4.3,3.49,47,46,6.7,2.3,54,1,
Donovan Mitchell,UTA,55,7,6.99,80,34.4,4.3,4.3,24.1,1.1,0.2,0.456,0.363,0.861,0.119,1.2,2.28,53,36,4.6,1.5,54,1,
Chris Paul,OKC,49,11,10.73,81,31.8,5,6.6,17.6,1.5,0.1,0.489,0.369,0.895,0.196,4.8,4.47,54,33,7.2,3,55,1,
Domantas Sabonis,IND,48,13,9.54,78,34.6,12.5,4.8,18.4,0.7,0.5,0.54,0.224,0.729,0.168,3.8,4.03,52,32,6.4,2.7,55,1,
Pascal Siakam,TOR,60,3,6.71,66,35,7.6,3.4,23.8,1,0.9,0.462,0.368,0.809,0.138,1.6,2.09,44,40,4.5,1.4,55,1,
Ben Simmons,PHI,51,9,10.73,78,36.3,7.9,8.3,16.9,2.2,0.6,0.584,0.333,0.628,0.18,5.2,5.22,52,34,7.2,3.5,55,1,
Jayson Tatum,BOS,58,4,7.74,76,34.2,7,2.9,22.5,1.4,0.9,0.442,0.382,0.819,0.14,1.9,2.58,50,38,5.1,1.7,54,1,
Kemba Walker,BOS,58,4,8.35,68,32.2,4.1,5,21.8,1,0.5,0.429,0.388,0.866,0.178,3.9,3.34,45,38,5.5,2.2,54,1,
Russell Westbrook,HOU,52,8,5.62,68,35.9,7.9,7.3,27,1.6,0.3,0.464,0.24,0.785,0.108,2.1,2.58,45,34,3.7,1.7,54,1,
Trae Young,ATL,22,28,7.91,73,35.3,4.4,9.2,30.1,1.2,0.1,0.444,0.374,0.856,0.143,5.2,4.83,50,15,5.4,3.3,56,1,
Bradley Beal,WAS,20,9,8.44,71,35.5,4.4,6.2,29.1,1,0.4,0.454,0.322,0.843,0.119,2.9,2.9,46,16,1.9,2.2,53,0,
